Pris;Kommune;Dato
28020;Landsdel København by;2012-12-01
29677;Landsdel København by;2013-01-01
29351;Landsdel København by;2013-02-01
29573;Landsdel København by;2013-03-01
29521;Landsdel København by;2013-04-01
29760;Landsdel København by;2013-05-01
29908;Landsdel København by;2013-06-01
29720;Landsdel København by;2013-07-01
30450;Landsdel København by;2013-08-01
30756;Landsdel København by;2013-09-01
31967;Landsdel København by;2013-10-01
31959;Landsdel København by;2013-11-01
31914;Landsdel København by;2013-12-01
32457;Landsdel København by;2014-01-01
32716;Landsdel København by;2014-02-01
32965;Landsdel København by;2014-03-01
33308;Landsdel København by;2014-04-01
33695;Landsdel København by;2014-05-01
33714;Landsdel København by;2014-06-01
33753;Landsdel København by;2014-07-01
33988;Landsdel København by;2014-08-01
34264;Landsdel København by;2014-09-01
34474;Landsdel København by;2014-10-01
35751;Landsdel København by;2014-11-01
35947;Landsdel København by;2014-12-01
36901;Landsdel København by;2015-01-01
37430;Landsdel København by;2015-02-01
38448;Landsdel København by;2015-03-01
38973;Landsdel København by;2015-04-01
38930;Landsdel København by;2015-05-01
39640;Landsdel København by;2015-06-01
39396;Landsdel København by;2015-07-01
39201;Landsdel København by;2015-08-01
39196;Landsdel København by;2015-09-01
39322;Landsdel København by;2015-10-01
39053;Landsdel København by;2015-11-01
39513;Landsdel København by;2015-12-01
40150;Landsdel København by;2016-01-01
40503;Landsdel København by;2016-02-01
40965;Landsdel København by;2016-03-01
41065;Landsdel København by;2016-04-01
41589;Landsdel København by;2016-05-01
41482;Landsdel København by;2016-06-01
41383;Landsdel København by;2016-07-01
42047;Landsdel København by;2016-08-01
41935;Landsdel København by;2016-09-01
42834;Landsdel København by;2016-10-01
42834;Landsdel København by;2016-11-01
43653;Landsdel København by;2016-12-01
43958;Landsdel København by;2017-01-01
43978;Landsdel København by;2017-02-01
44361;Landsdel København by;2017-03-01
44950;Landsdel København by;2017-04-01
44857;Landsdel København by;2017-05-01
45316;Landsdel København by;2017-06-01
45112;Landsdel København by;2017-07-01
45623;Landsdel København by;2017-08-01
46072;Landsdel København by;2017-09-01
45693;Landsdel København by;2017-10-01
46013;Landsdel København by;2017-11-01
46508;Landsdel København by;2017-12-01
21884;København;2004-01-01
22195;København;2004-02-01
22313;København;2004-03-01
22623;København;2004-04-01
23035;København;2004-05-01
23566;København;2004-06-01
24066;København;2004-07-01
24255;København;2004-08-01
25007;København;2004-09-01
24975;København;2004-10-01
25700;København;2004-11-01
26005;København;2004-12-01
26537;København;2005-01-01
27363;København;2005-02-01
28049;København;2005-03-01
29331;København;2005-04-01
30753;København;2005-05-01
31511;København;2005-06-01
32945;København;2005-07-01
33270;København;2005-08-01
34178;København;2005-09-01
35442;København;2005-10-01
35982;København;2005-11-01
36821;København;2005-12-01
38059;København;2006-01-01
38590;København;2006-02-01
38386;København;2006-03-01
38552;København;2006-04-01
39177;København;2006-05-01
39304;København;2006-06-01
39378;København;2006-07-01
38821;København;2006-08-01
38778;København;2006-09-01
38210;København;2006-10-01
37890;København;2006-11-01
37579;København;2006-12-01
37531;København;2007-01-01
36968;København;2007-02-01
36824;København;2007-03-01
36721;København;2007-04-01
36788;København;2007-05-01
36603;København;2007-06-01
35885;København;2007-07-01
35469;København;2007-08-01
35634;København;2007-09-01
35039;København;2007-10-01
34921;København;2007-11-01
34578;København;2007-12-01
34444;København;2008-01-01
34358;København;2008-02-01
34169;København;2008-03-01
34438;København;2008-04-01
33920;København;2008-05-01
33932;København;2008-06-01
33278;København;2008-07-01
33091;København;2008-08-01
32388;København;2008-09-01
31811;København;2008-10-01
31594;København;2008-11-01
31364;København;2008-12-01
30468;København;2009-01-01
30289;København;2009-02-01
29849;København;2009-03-01
29831;København;2009-04-01
29707;København;2009-05-01
29820;København;2009-06-01
29898;København;2009-07-01
29690;København;2009-08-01
29369;København;2009-09-01
29731;København;2009-10-01
29531;København;2009-11-01
29363;København;2009-12-01
29892;København;2010-01-01
29806;København;2010-02-01
30096;København;2010-03-01
30273;København;2010-04-01
30510;København;2010-05-01
30284;København;2010-06-01
29948;København;2010-07-01
29785;København;2010-08-01
30225;København;2010-09-01
29754;København;2010-10-01
29490;København;2010-11-01
29339;København;2010-12-01
26820;København;2011-01-01
26905;København;2011-02-01
26805;København;2011-03-01
26584;København;2011-04-01
26357;København;2011-05-01
25913;København;2011-06-01
26274;København;2011-07-01
25826;København;2011-08-01
25882;København;2011-09-01
26157;København;2011-10-01
26025;København;2011-11-01
26591;København;2011-12-01
26310;København;2012-01-01
26230;København;2012-02-01
26133;København;2012-03-01
26468;København;2012-04-01
26715;København;2012-05-01
27126;København;2012-06-01
27284;København;2012-07-01
27426;København;2012-08-01
27873;København;2012-09-01
28698;København;2012-10-01
29048;København;2012-11-01
28969;København;2012-12-01
29721;København;2013-01-01
29350;København;2013-02-01
29328;København;2013-03-01
29224;København;2013-04-01
29398;København;2013-05-01
29460;København;2013-06-01
29355;København;2013-07-01
30200;København;2013-08-01
30548;København;2013-09-01
32002;København;2013-10-01
32066;København;2013-11-01
31856;København;2013-12-01
32471;København;2014-01-01
32851;København;2014-02-01
32986;København;2014-03-01
33330;København;2014-04-01
33664;København;2014-05-01
33652;København;2014-06-01
33743;København;2014-07-01
34021;København;2014-08-01
34454;København;2014-09-01
34409;København;2014-10-01
36044;København;2014-11-01
36178;København;2014-12-01
37110;København;2015-01-01
37628;København;2015-02-01
38980;København;2015-03-01
39675;København;2015-04-01
39358;København;2015-05-01
39969;København;2015-06-01
39793;København;2015-07-01
39339;København;2015-08-01
39101;København;2015-09-01
39289;København;2015-10-01
38878;København;2015-11-01
39517;København;2015-12-01
40132;København;2016-01-01
40475;København;2016-02-01
40861;København;2016-03-01
40835;København;2016-04-01
41352;København;2016-05-01
41361;København;2016-06-01
41401;København;2016-07-01
42024;København;2016-08-01
41824;København;2016-09-01
42764;København;2016-10-01
42728;København;2016-11-01
43916;København;2016-12-01
43962;København;2017-01-01
43958;København;2017-02-01
44256;København;2017-03-01
44984;København;2017-04-01
44893;København;2017-05-01
45455;København;2017-06-01
45039;København;2017-07-01
45476;København;2017-08-01
45946;København;2017-09-01
45752;København;2017-10-01
46102;København;2017-11-01
46785;København;2017-12-01
20471;Frederiksberg;2004-01-01
20621;Frederiksberg;2004-02-01
20917;Frederiksberg;2004-03-01
23144;Frederiksberg;2004-04-01
23825;Frederiksberg;2004-05-01
25359;Frederiksberg;2004-06-01
25475;Frederiksberg;2004-07-01
25820;Frederiksberg;2004-08-01
25835;Frederiksberg;2004-09-01
25830;Frederiksberg;2004-10-01
26638;Frederiksberg;2004-11-01
27217;Frederiksberg;2004-12-01
28055;Frederiksberg;2005-01-01
28486;Frederiksberg;2005-02-01
29102;Frederiksberg;2005-03-01
30250;Frederiksberg;2005-04-01
30854;Frederiksberg;2005-05-01
31863;Frederiksberg;2005-06-01
32464;Frederiksberg;2005-07-01
33453;Frederiksberg;2005-08-01
34586;Frederiksberg;2005-09-01
35583;Frederiksberg;2005-10-01
36816;Frederiksberg;2005-11-01
36984;Frederiksberg;2005-12-01
37869;Frederiksberg;2006-01-01
38216;Frederiksberg;2006-02-01
38364;Frederiksberg;2006-03-01
39394;Frederiksberg;2006-04-01
39843;Frederiksberg;2006-05-01
39405;Frederiksberg;2006-06-01
39459;Frederiksberg;2006-07-01
39673;Frederiksberg;2006-08-01
38627;Frederiksberg;2006-09-01
38323;Frederiksberg;2006-10-01
37756;Frederiksberg;2006-11-01
37651;Frederiksberg;2006-12-01
37430;Frederiksberg;2007-01-01
36910;Frederiksberg;2007-02-01
36628;Frederiksberg;2007-03-01
36129;Frederiksberg;2007-04-01
35860;Frederiksberg;2007-05-01
36009;Frederiksberg;2007-06-01
35874;Frederiksberg;2007-07-01
35511;Frederiksberg;2007-08-01
34995;Frederiksberg;2007-09-01
34629;Frederiksberg;2007-10-01
34682;Frederiksberg;2007-11-01
34737;Frederiksberg;2007-12-01
34386;Frederiksberg;2008-01-01
34088;Frederiksberg;2008-02-01
33886;Frederiksberg;2008-03-01
33169;Frederiksberg;2008-04-01
33438;Frederiksberg;2008-05-01
33022;Frederiksberg;2008-06-01
32708;Frederiksberg;2008-07-01
32355;Frederiksberg;2008-08-01
32044;Frederiksberg;2008-09-01
31367;Frederiksberg;2008-10-01
31146;Frederiksberg;2008-11-01
30870;Frederiksberg;2008-12-01
30434;Frederiksberg;2009-01-01
30279;Frederiksberg;2009-02-01
29845;Frederiksberg;2009-03-01
29737;Frederiksberg;2009-04-01
29885;Frederiksberg;2009-05-01
30086;Frederiksberg;2009-06-01
29530;Frederiksberg;2009-07-01
29731;Frederiksberg;2009-08-01
30033;Frederiksberg;2009-09-01
30490;Frederiksberg;2009-10-01
29502;Frederiksberg;2009-11-01
30059;Frederiksberg;2009-12-01
30177;Frederiksberg;2010-01-01
30482;Frederiksberg;2010-02-01
30185;Frederiksberg;2010-03-01
30483;Frederiksberg;2010-04-01
30579;Frederiksberg;2010-05-01
30972;Frederiksberg;2010-06-01
31036;Frederiksberg;2010-07-01
31119;Frederiksberg;2010-08-01
31223;Frederiksberg;2010-09-01
31351;Frederiksberg;2010-10-01
31091;Frederiksberg;2010-11-01
31461;Frederiksberg;2010-12-01
29435;Frederiksberg;2011-01-01
29459;Frederiksberg;2011-02-01
29104;Frederiksberg;2011-03-01
28756;Frederiksberg;2011-04-01
28755;Frederiksberg;2011-05-01
28999;Frederiksberg;2011-06-01
28837;Frederiksberg;2011-07-01
28575;Frederiksberg;2011-08-01
28388;Frederiksberg;2011-09-01
